ctrl,m2,m1,m3,sim_time,log_time
0,,,,124.11,2021-04-02 07:36:43
0,,,,125.18,2021-04-02 07:47:44
0,,,,126.24,2021-04-02 07:59:02
0,,,,127.29,2021-04-02 08:09:40
0,,,,128.3,2021-04-02 08:21:14
0,,,,129.39,2021-04-02 08:32:17
0,,,,130.32,2021-04-02 08:43:42
0,,,,131.37,2021-04-02 08:54:37
0,,,,132.42,2021-04-02 09:05:52
0,,,,133.39,2021-04-02 09:17:02
0,,,,134.32,2021-04-02 09:28:23
0,,,,135.28,2021-04-02 09:39:25
0,,,,136.28,2021-04-02 09:50:48
0,,,,137.26,2021-04-02 10:01:54
0,,,,138.24,2021-04-02 10:12:59
0,,,,139.14,2021-04-02 10:24:03
0,,,,140.09,2021-04-02 10:35:20
0,,,,141.01,2021-04-02 10:46:29
0,,,,141.92,2021-04-02 10:57:20
0,,,,142.75,2021-04-02 11:09:03
0,,,,143.65,2021-04-02 11:20:11
0,,,,144.6,2021-04-02 11:31:50
0,,,,145.47,2021-04-02 11:42:45
0,,,,146.41,2021-04-02 11:54:05
0,,,,147.37,2021-04-02 12:05:09
0,,,,148.29,2021-04-02 12:16:32
0,,,,149.21,2021-04-02 12:27:28
0,,,,150.1,2021-04-02 12:39:49
0,,,,151.01,2021-04-02 12:50:58
0,,,,151.92,2021-04-02 13:02:07
0,,,,152.85,2021-04-02 13:13:13
0,,,,153.75,2021-04-02 13:24:20
0,,,,154.61,2021-04-02 13:35:46
0,,,,155.4,2021-04-02 13:46:32
0,,,,156.27,2021-04-02 13:57:53
0,,,,157.2,2021-04-02 14:09:05
0,,,,158.15,2021-04-02 14:20:29
0,,,,159.1,2021-04-02 14:31:24
0,,,,159.97,2021-04-02 14:42:33
0,,,,160.83,2021-04-02 14:54:16
0,,,,161.7,2021-04-02 15:05:30
0,,,,162.54,2021-04-02 15:16:50
0,,,,163.43,2021-04-02 15:27:48
0,,,,164.36,2021-04-02 15:39:06
0,,,,165.31,2021-04-02 15:50:23
0,,,,166.22,2021-04-02 16:01:39
0,,,,167.03,2021-04-02 16:12:27
0,,,,167.9,2021-04-02 16:23:33
0,,,,168.78,2021-04-02 16:34:54
0,,,,169.58,2021-04-02 16:45:26
0,,,,170.42,2021-04-02 16:56:53
0,,,,171.26,2021-04-02 17:08:02
0,,,,172.12,2021-04-02 17:19:28
0,,,,173.01,2021-04-02 17:30:31
0,,,,173.81,2021-04-02 17:41:37
0,,,,174.61,2021-04-02 17:53:04
0,,,,175.37,2021-04-02 18:04:19
0,,,,176.21,2021-04-02 18:15:31
0,,,,177.07,2021-04-02 18:26:42
0,,,,177.94,2021-04-02 18:37:55
0,,,,178.8,2021-04-02 18:50:06
0,,,,179.63,2021-04-02 19:01:06
0,,,,180.43,2021-04-02 19:12:45
0,,,,181.26,2021-04-02 19:23:50
0,,,,182.04,2021-04-02 19:35:06
0,,,,182.88,2021-04-02 19:46:24
0,,,,183.74,2021-04-02 19:57:40
0,,,,184.62,2021-04-02 20:09:20
0,,,,185.45,2021-04-02 20:20:20
0,,,,186.21,2021-04-02 20:31:59
0,,,,186.98,2021-04-02 20:43:13
0,,,,187.87,2021-04-02 20:53:36
0,,,,188.67,2021-04-02 21:05:04
0,,,,189.46,2021-04-02 21:16:19
0,,,,190.22,2021-04-02 21:27:45
0,,,,190.98,2021-04-02 21:38:36
0,,,,191.77,2021-04-02 21:49:43
0,,,,192.51,2021-04-02 22:01:13
0,,,,193.35,2021-04-02 22:12:30
0,,,,194.12,2021-04-02 22:23:48
0,,,,195.01,2021-04-02 22:34:57
0,,,,195.89,2021-04-02 22:46:18
0,,,,196.71,2021-04-02 22:57:42
0,,,,197.57,2021-04-02 23:08:52
0,,,,198.39,2021-04-02 23:20:25
0,,,,199.18,2021-04-02 23:31:37
0,,,,199.92,2021-04-02 23:42:48
0,,,,200.69,2021-04-02 23:53:53
0,,,,201.51,2021-04-03 00:05:08
0,,,,202.25,2021-04-03 00:16:44
0,,,,202.98,2021-04-03 00:28:19
0,,,,203.81,2021-04-03 00:39:27
0,,,,204.58,2021-04-03 00:51:03
0,,,,205.36,2021-04-03 01:02:13
0,,,,206.04,2021-04-03 01:13:42
0,,,,206.83,2021-04-03 01:24:04
0,,,,207.59,2021-04-03 01:35:12
0,,,,208.36,2021-04-03 01:46:44
0,,,,209.13,2021-04-03 01:57:44
0,,,,209.9,2021-04-03 02:08:56
0,,,,210.6,2021-04-03 02:20:35
0,,,,211.3,2021-04-03 02:32:01
0,,,,212.04,2021-04-03 02:43:20
0,,,,212.76,2021-04-03 02:54:30
0,,,,213.46,2021-04-03 03:05:45
0,,,,214.2,2021-04-03 03:17:34
0,,,,214.94,2021-04-03 03:28:36
0,,,,215.64,2021-04-03 03:39:58
0,,,,216.37,2021-04-03 03:51:17
0,,,,217.11,2021-04-03 04:02:26
0,,,,217.83,2021-04-03 04:13:46
0,,,,218.55,2021-04-03 04:25:07
0,,,,219.3,2021-04-03 04:36:22
0,,,,220.02,2021-04-03 04:47:38
0,,,,220.73,2021-04-03 04:58:51
0,,,,221.47,2021-04-03 05:10:07
0,,,,222.18,2021-04-03 05:22:01
0,,,,222.9,2021-04-03 05:33:27
0,,,,223.61,2021-04-03 05:44:42
0,,,,224.33,2021-04-03 05:56:26
0,,,,225.03,2021-04-03 06:07:41
0,,,,225.75,2021-04-03 06:18:46
0,,,,226.48,2021-04-03 06:30:25
0,,,,227.21,2021-04-03 06:41:42
0,,,,227.96,2021-04-03 06:52:47
0,,,,228.66,2021-04-03 07:04:21
0,,,,229.36,2021-04-03 07:15:47
0,,,,230.03,2021-04-03 07:27:15
0,,,,230.66,2021-04-03 07:38:47
0,,,,231.42,2021-04-03 07:50:28
0,,,,232.15,2021-04-03 08:01:58
0,,,,232.88,2021-04-03 08:13:07
0,,,,233.6,2021-04-03 08:24:24
0,,,,234.31,2021-04-03 08:36:07
0,,,,235.02,2021-04-03 08:47:31
0,,,,235.7,2021-04-03 08:58:47
0,,,,236.34,2021-04-03 09:10:27
0,,,,237.02,2021-04-03 09:21:52
0,,,,237.71,2021-04-03 09:32:57
0,,,,238.42,2021-04-03 09:44:27
0,,,,239.11,2021-04-03 09:55:44
0,,,,239.8,2021-04-03 10:07:06
0,,,,240.46,2021-04-03 10:18:27
0,,,,241.13,2021-04-03 10:29:56
0,,,,241.83,2021-04-03 10:41:31
0,,,,242.43,2021-04-03 10:53:11
0,,,,243.09,2021-04-03 11:04:28
0,,,,243.73,2021-04-03 11:15:57
0,,,,244.41,2021-04-03 11:27:40
0,,,,245.09,2021-04-03 11:38:58
0,,,,245.78,2021-04-03 11:50:19
0,,,,246.47,2021-04-03 12:02:03
0,,,,247.21,2021-04-03 12:13:26
0,,,,247.93,2021-04-03 12:25:06
0,,,,248.61,2021-04-03 12:37:01
0,,,,249.3,2021-04-03 12:48:40
0,,,,250.03,2021-04-03 13:00:16
0,,,,250.72,2021-04-03 13:11:55
0,,,,251.47,2021-04-03 13:23:27
0,,,,252.17,2021-04-03 13:35:17
0,,,,252.88,2021-04-03 13:46:52
0,,,,253.56,2021-04-03 13:58:38
0,,,,254.21,2021-04-03 14:10:27
0,,,,254.93,2021-04-03 14:22:08
0,,,,255.66,2021-04-03 14:33:52
0,,,,256.38,2021-04-03 14:45:43
0,,,,257.0,2021-04-03 14:56:54
0,,,,257.67,2021-04-03 15:08:18
0,,,,258.35,2021-04-03 15:20:04
0,,,,258.98,2021-04-03 15:31:32
0,,,,259.65,2021-04-03 15:42:23
0,,,,260.37,2021-04-03 15:54:01
0,,,,261.15,2021-04-03 16:05:32
0,,,,261.84,2021-04-03 16:17:07
0,,,,262.5,2021-04-03 16:28:52
0,,,,263.16,2021-04-03 16:40:42
0,,,,263.88,2021-04-03 16:52:22
0,,,,264.55,2021-04-03 17:04:06
0,,,,265.3,2021-04-03 17:16:04
0,,,,265.94,2021-04-03 17:27:48
0,,,,266.62,2021-04-03 17:39:31
0,,,,267.35,2021-04-03 17:51:09
0,,,,268.03,2021-04-03 18:02:54
0,,,,268.73,2021-04-03 18:14:25
0,,,,269.38,2021-04-03 18:25:48
0,,,,270.03,2021-04-03 18:37:58
0,,,,270.68,2021-04-03 18:49:38
0,,,,271.3,2021-04-03 19:01:11
0,,,,271.98,2021-04-03 19:12:44
0,,,,272.66,2021-04-03 19:24:47
0,,,,273.41,2021-04-03 19:36:13
0,,,,274.08,2021-04-03 19:47:54
0,,,,274.75,2021-04-03 19:59:22
0,,,,275.44,2021-04-03 20:10:51
0,,,,276.14,2021-04-03 20:22:00
0,,,,276.87,2021-04-03 20:33:35
0,,,,277.6,2021-04-03 20:45:13
0,,,,278.3,2021-04-03 20:56:58
0,,,,278.96,2021-04-03 21:08:18
0,,,,279.66,2021-04-03 21:19:42
0,,,,280.33,2021-04-03 21:31:14
0,,,,281.04,2021-04-03 21:42:27
0,,,,281.73,2021-04-03 21:53:54
0,,,,282.36,2021-04-03 22:05:30
0,,,,283.01,2021-04-03 22:16:52
0,,,,283.66,2021-04-03 22:27:59
0,,,,284.3,2021-04-03 22:39:33
0,,,,284.92,2021-04-03 22:50:48
0,,,,285.56,2021-04-03 23:02:17
0,,,,286.18,2021-04-03 23:13:49
0,,,,286.84,2021-04-03 23:25:20
0,,,,287.45,2021-04-03 23:36:37
0,,,,288.1,2021-04-03 23:48:26
0,,,,288.77,2021-04-03 23:59:57
0,,,,289.44,2021-04-04 00:11:42
0,,,,290.14,2021-04-04 00:23:40
0,,,,290.83,2021-04-04 00:35:16
0,,,,291.47,2021-04-04 00:46:42
0,,,,292.09,2021-04-04 00:58:44
0,,,,292.77,2021-04-04 01:09:51
0,,,,293.44,2021-04-04 01:21:15
0,891.0,,,294.13,2021-04-04 01:33:19
0,4160.0,31.0,,294.79,2021-04-04 01:44:44
