ctrl,m1,m2,sim_time,log_time
0,1658.91,0.267,580.52,2021-04-07 21:12:24
0,1408.057,0.054,581.13,2021-04-07 21:18:19
0,1558.37,0.192,581.71,2021-04-07 21:24:17
0,1660.042,0.117,582.3,2021-04-07 21:30:24
0,1633.017,0.14,582.94,2021-04-07 21:36:24
0,1786.226,0.122,583.59,2021-04-07 21:42:22
0,1495.921,0.257,584.2,2021-04-07 21:48:37
0,1395.632,0.063,584.79,2021-04-07 21:54:32
0,1627.745,0.084,585.39,2021-04-07 22:00:24
0,1680.389,0.318,585.95,2021-04-07 22:06:17
0,1664.958,0.902,586.51,2021-04-07 22:12:20
0,1568.535,0.644,587.11,2021-04-07 22:18:09
0,1462.652,3.628,587.62,2021-04-07 22:23:58
0,1536.344,0.47,588.17,2021-04-07 22:29:58
0,1707.889,0.782,588.7,2021-04-07 22:35:47
0,1334.781,0.307,589.24,2021-04-07 22:41:44
0,1605.975,1.111,589.8,2021-04-07 22:47:40
0,1510.449,0.664,590.36,2021-04-07 22:53:58
0,1620.963,0.252,590.93,2021-04-07 23:00:00
0,1553.683,1.937,591.48,2021-04-07 23:06:01
0,1476.839,1.336,592.04,2021-04-07 23:12:12
0,1600.577,0.154,592.67,2021-04-07 23:18:23
0,1704.479,0.773,593.21,2021-04-07 23:24:30
0,1645.358,0.451,593.79,2021-04-07 23:30:38
0,1612.815,0.389,594.36,2021-04-07 23:36:52
0,1761.789,0.53,594.93,2021-04-07 23:42:53
0,1571.432,0.842,595.48,2021-04-07 23:48:59
0,1502.19,0.044,596.13,2021-04-07 23:55:07
0,1504.351,0.454,596.68,2021-04-08 00:01:09
0,1783.827,0.167,597.27,2021-04-08 00:07:14
0,1631.512,0.13,597.87,2021-04-08 00:13:12
0,1776.408,0.08,598.45,2021-04-08 00:19:16
0,1516.027,0.138,599.09,2021-04-08 00:25:19
0,1727.035,0.038,599.74,2021-04-08 00:31:17
0,1625.123,0.075,600.37,2021-04-08 00:42:58
0,1541.18,0.067,600.97,2021-04-08 00:48:56
0,1508.836,0.067,601.57,2021-04-08 00:54:53
0,1731.172,0.027,602.21,2021-04-08 01:01:11
0,1679.32,0.187,602.77,2021-04-08 01:07:00
0,1629.601,1.111,603.28,2021-04-08 01:13:00
0,1549.893,0.199,603.88,2021-04-08 01:18:59
0,1376.97,0.645,604.41,2021-04-08 01:25:12
0,1493.733,0.251,604.93,2021-04-08 01:31:06
0,1682.176,3.334,605.44,2021-04-08 01:36:58
0,1890.966,1.057,605.98,2021-04-08 01:42:49
0,1392.634,1.771,606.51,2021-04-08 01:49:03
0,1521.33,0.372,607.06,2021-04-08 01:54:52
0,1648.659,1.702,607.64,2021-04-08 02:00:47
0,1367.101,2.076,608.18,2021-04-08 02:06:54
0,1726.464,1.168,608.76,2021-04-08 02:12:50
0,1415.565,0.573,609.34,2021-04-08 02:18:47
0,1643.01,0.768,609.95,2021-04-08 02:24:50
0,1544.918,0.176,610.57,2021-04-08 02:30:52
0,1488.596,0.648,611.14,2021-04-08 02:36:53
0,1857.776,2.418,611.75,2021-04-08 02:42:58
0,1529.586,0.667,612.31,2021-04-08 02:49:21
0,1693.8,0.1,612.92,2021-04-08 02:55:30
0,1699.333,0.943,613.45,2021-04-08 03:01:29
0,1467.431,0.298,614.02,2021-04-08 03:07:40
0,1607.538,0.093,614.61,2021-04-08 03:13:38
0,1639.667,0.215,615.23,2021-04-08 03:19:39
0,1930.709,0.272,615.77,2021-04-08 03:25:43
0,1294.793,1.893,616.26,2021-04-08 03:31:56
0,1721.587,0.139,616.86,2021-04-08 03:38:00
0,1692.775,0.443,617.39,2021-04-08 03:43:54
0,1584.872,0.264,617.95,2021-04-08 03:49:51
0,1774.754,0.084,618.57,2021-04-08 03:56:03
0,1737.409,0.088,619.23,2021-04-08 04:02:14
0,1623.56,0.019,619.88,2021-04-08 04:08:20
0,1450.792,0.218,620.51,2021-04-08 04:14:39
0,1522.616,0.251,621.12,2021-04-08 04:20:33
0,1547.654,1.387,621.67,2021-04-08 04:26:27
0,1822.605,0.652,622.17,2021-04-08 04:32:38
0,1688.392,0.316,622.74,2021-04-08 04:38:42
0,1494.541,0.471,623.31,2021-04-08 04:44:41
0,1491.258,0.428,623.85,2021-04-08 04:50:37
0,1742.529,0.424,624.42,2021-04-08 04:56:42
0,1599.779,2.89,624.99,2021-04-08 05:02:47
0,1581.547,0.785,625.51,2021-04-08 05:08:45
0,1452.673,0.451,626.11,2021-04-08 05:14:53
0,1602.252,0.222,626.66,2021-04-08 05:20:49
0,1640.228,0.474,627.21,2021-04-08 05:26:46
0,1576.848,0.221,627.79,2021-04-08 05:32:51
0,1988.122,0.1,628.43,2021-04-08 05:39:01
0,1644.26,0.094,628.99,2021-04-08 05:45:10
0,1477.085,0.071,629.56,2021-04-08 05:51:08
0,1774.12,0.402,630.14,2021-04-08 05:57:18
0,1600.446,0.135,630.73,2021-04-08 06:03:17
0,1628.191,0.163,631.34,2021-04-08 06:09:15
0,1699.062,0.597,631.99,2021-04-08 06:15:14
0,1697.429,0.866,632.58,2021-04-08 06:21:48
0,1536.042,0.222,633.18,2021-04-08 06:27:58
0,1881.33,0.161,633.8,2021-04-08 06:33:57
0,1605.869,0.858,634.38,2021-04-08 06:40:09
0,1367.114,0.189,634.97,2021-04-08 06:46:12
0,1853.177,0.083,635.6,2021-04-08 06:52:22
0,1634.859,1.11,636.15,2021-04-08 06:58:29
0,1561.297,0.238,636.75,2021-04-08 07:04:27
0,1473.277,0.189,637.37,2021-04-08 07:10:21
0,1702.08,0.166,637.97,2021-04-08 07:16:22
0,1775.563,0.295,638.55,2021-04-08 07:22:35
0,1682.684,0.634,639.12,2021-04-08 07:28:30
0,1491.903,0.323,639.68,2021-04-08 07:34:26
0,1534.363,0.168,640.25,2021-04-08 07:40:36
0,1834.663,0.047,640.89,2021-04-08 07:46:46
0,1454.298,0.105,641.49,2021-04-08 07:52:44
0,1473.939,0.104,642.1,2021-04-08 07:58:48
0,1535.843,2.786,642.68,2021-04-08 08:04:45
0,1695.827,0.291,643.26,2021-04-08 08:10:47
0,1539.507,0.866,643.78,2021-04-08 08:16:39
0,1753.545,0.806,644.34,2021-04-08 08:22:53
0,1781.882,0.371,644.95,2021-04-08 08:28:50
0,1531.498,0.183,645.51,2021-04-08 08:34:50
0,1578.839,0.09,646.11,2021-04-08 08:41:00
0,1434.9,0.096,646.7,2021-04-08 08:47:00
0,1713.816,0.728,647.26,2021-04-08 08:52:57
0,1510.088,0.199,647.83,2021-04-08 08:58:58
0,1614.015,0.484,648.42,2021-04-08 09:05:19
0,1853.884,0.822,649.01,2021-04-08 09:11:25
0,1512.202,0.615,649.53,2021-04-08 09:17:29
0,1733.171,0.132,650.11,2021-04-08 09:23:49
0,1393.932,0.406,650.66,2021-04-08 09:29:50
0,1473.804,0.39,651.25,2021-04-08 09:35:55
0,1754.453,0.584,651.76,2021-04-08 09:41:57
0,1791.897,0.272,652.35,2021-04-08 09:48:11
0,1309.236,0.132,652.92,2021-04-08 09:54:06
0,1621.663,0.233,653.49,2021-04-08 10:00:05
0,1878.644,0.116,654.08,2021-04-08 10:06:17
0,1953.123,0.242,654.68,2021-04-08 10:12:09
0,1562.294,0.105,655.31,2021-04-08 10:18:04
0,1595.745,0.086,655.94,2021-04-08 10:23:59
0,1518.449,0.746,656.54,2021-04-08 10:30:03
0,1752.379,0.269,657.14,2021-04-08 10:35:57
0,1518.927,1.082,657.67,2021-04-08 10:41:52
0,1506.308,0.12,658.25,2021-04-08 10:48:01
0,1519.28,3.445,658.76,2021-04-08 10:53:54
0,1762.038,2.02,659.3,2021-04-08 10:59:46
0,1451.543,1.439,659.83,2021-04-08 11:05:38
0,1821.122,0.224,660.39,2021-04-08 11:12:17
0,1653.376,0.681,660.94,2021-04-08 11:18:11
0,1623.715,0.89,661.51,2021-04-08 11:24:06
0,1787.712,0.709,662.08,2021-04-08 11:30:19
0,1756.86,0.441,662.65,2021-04-08 11:36:20
0,1508.645,0.451,663.24,2021-04-08 11:42:14
0,1556.163,0.421,663.82,2021-04-08 11:48:20
0,1551.839,0.488,664.38,2021-04-08 11:54:34
0,2010.235,0.15,665.0,2021-04-08 12:00:43
0,1626.984,1.832,665.55,2021-04-08 12:06:50
0,1810.028,0.176,666.19,2021-04-08 12:12:55
0,1684.372,0.544,666.76,2021-04-08 12:19:01
0,1740.965,0.706,667.26,2021-04-08 12:25:04
0,1466.221,0.373,667.83,2021-04-08 12:31:07
0,1494.182,0.163,668.36,2021-04-08 12:37:18
0,1779.106,0.178,668.93,2021-04-08 12:43:21
0,1723.433,0.663,669.47,2021-04-08 12:49:23
0,1423.78,0.352,670.06,2021-04-08 12:55:40
0,1460.423,0.284,670.6,2021-04-08 13:01:45
0,1524.493,0.151,671.17,2021-04-08 13:07:46
0,1530.288,0.875,671.74,2021-04-08 13:13:43
0,1715.781,0.869,672.31,2021-04-08 13:19:52
0,1517.026,0.162,672.93,2021-04-08 13:25:47
0,1605.209,0.298,673.49,2021-04-08 13:31:42
0,1687.553,3.512,674.03,2021-04-08 13:37:47
0,1580.152,0.285,674.62,2021-04-08 13:43:53
0,1717.236,0.153,675.22,2021-04-08 13:49:59
0,1751.366,0.21,675.82,2021-04-08 13:56:04
0,1539.106,0.17,676.41,2021-04-08 14:02:11
0,1581.692,0.089,677.01,2021-04-08 14:08:14
0,1591.667,0.207,677.59,2021-04-08 14:14:19
0,1486.81,0.277,678.16,2021-04-08 14:20:24
0,1502.89,0.046,678.75,2021-04-08 14:26:30
0,1689.415,0.052,679.35,2021-04-08 14:32:30
0,1694.422,0.075,679.93,2021-04-08 14:38:24
0,1594.693,0.03,680.53,2021-04-08 14:44:27
0,1669.187,0.062,681.15,2021-04-08 14:50:20
0,1426.827,0.32,681.71,2021-04-08 14:56:15
0,1720.812,0.065,682.28,2021-04-08 15:02:22
0,1551.734,0.777,682.81,2021-04-08 15:08:24
0,1547.388,1.835,683.42,2021-04-08 15:14:19
